train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.909714,0.619151,0.987899,0.937347
0.910309,0.61905,0.987977,0.937226
0.911118,0.619779,0.988106,0.937511
0.912027,0.620594,0.988275,0.9379
0.912696,0.621118,0.988366,0.938097
0.913287,0.621689,0.988478,0.938168
0.913966,0.622274,0.98863,0.938299
0.91481,0.62278,0.98879,0.938623
0.915666,0.623183,0.988923,0.938656
0.916503,0.623587,0.989042,0.938788
0.91746,0.624215,0.989196,0.939024
0.918351,0.62476,0.989364,0.93928
0.918963,0.625262,0.989444,0.939455
0.919758,0.626058,0.98956,0.939533
0.920517,0.626754,0.989707,0.939736
0.921466,0.627611,0.989888,0.940068
0.922316,0.628154,0.990007,0.940226
0.922978,0.628803,0.990116,0.940392
0.923593,0.629207,0.990219,0.940623
0.924589,0.629543,0.990372,0.940865
0.925244,0.629806,0.990488,0.940797
0.925922,0.630616,0.990588,0.941107
0.92647,0.63084,0.990676,0.941084
0.927244,0.630942,0.990791,0.941225
0.92801,0.631381,0.990927,0.941294
0.928454,0.632033,0.990981,0.941474
0.9292,0.63267,0.991079,0.94163
0.929685,0.632873,0.99116,0.941724
0.930344,0.633396,0.99123,0.94176
0.93088,0.63371,0.991344,0.942005
0.931829,0.634494,0.991462,0.942141
0.932505,0.634819,0.991567,0.942203
0.932754,0.635341,0.991619,0.942478
0.933419,0.636024,0.991719,0.942692
0.933917,0.63667,0.991814,0.942906
0.9345,0.637207,0.991925,0.943009
0.934994,0.637571,0.991982,0.943132
0.935483,0.638006,0.992055,0.943241
0.936161,0.638263,0.992153,0.943453
0.936644,0.639047,0.992247,0.943572
0.937301,0.639101,0.992334,0.943707
0.938031,0.639948,0.992446,0.943905
0.938586,0.640486,0.992534,0.944026
0.939178,0.640688,0.992598,0.944165
0.939669,0.641064,0.992661,0.944147
0.940316,0.641688,0.99274,0.94431
0.940639,0.642195,0.992781,0.944469
0.941281,0.642467,0.992874,0.944581
0.9418,0.642936,0.992966,0.944782
0.942281,0.643319,0.993049,0.944794
0.942608,0.644058,0.993086,0.944897
0.943119,0.644504,0.993154,0.94495
0.943664,0.645317,0.993227,0.945144
0.944192,0.64563,0.993307,0.945357
0.944732,0.646302,0.993382,0.945547
0.945364,0.646792,0.993486,0.945848
0.945855,0.647002,0.993561,0.945836
0.946151,0.64719,0.993614,0.945876
0.946484,0.647718,0.993666,0.946009
0.946918,0.648378,0.993722,0.946144
0.94735,0.648773,0.993802,0.946303
0.947784,0.649491,0.993854,0.946456
0.948318,0.650281,0.993931,0.946561
0.948751,0.650508,0.993986,0.946589
0.949269,0.650681,0.994066,0.946556
0.94952,0.651075,0.994097,0.946614
0.94996,0.651598,0.994165,0.946746
0.950318,0.651793,0.994214,0.946788
0.950686,0.652333,0.994265,0.946924
0.951105,0.652627,0.994321,0.946998
0.951519,0.652776,0.994376,0.947121
0.951792,0.653253,0.994413,0.947231
0.952174,0.653411,0.994479,0.947207
0.952466,0.653688,0.994524,0.947315
0.952768,0.653581,0.994565,0.947346
0.953185,0.65418,0.994627,0.947363
0.953581,0.654683,0.994679,0.947541
0.953943,0.654963,0.994728,0.947686
0.954279,0.65511,0.994778,0.947702
0.954789,0.655673,0.994853,0.947831
0.955209,0.65631,0.994901,0.948008
0.955543,0.656467,0.994953,0.948075
0.955918,0.656858,0.995005,0.94818
0.956343,0.657143,0.995069,0.94823
0.956745,0.657268,0.995121,0.94824
0.957225,0.65781,0.995191,0.948433
0.957463,0.658309,0.995222,0.948472
0.957846,0.658454,0.995281,0.948557
0.958265,0.65892,0.995339,0.948627
0.958663,0.659192,0.99538,0.948678
0.958831,0.659578,0.995408,0.948811
0.959061,0.659972,0.995443,0.948923
0.95929,0.660138,0.995474,0.948929
0.95957,0.66063,0.995508,0.949031
0.95975,0.660945,0.995535,0.949194
0.959926,0.661375,0.995557,0.949286
0.960366,0.661883,0.995617,0.949419
0.960527,0.662453,0.995637,0.9495
0.960725,0.662373,0.995658,0.949511
0.961019,0.662901,0.995692,0.949666
0.961296,0.663722,0.995725,0.949816
0.961604,0.663891,0.995764,0.949877
0.962009,0.663844,0.995817,0.949858
0.962326,0.664469,0.995858,0.949999
0.962672,0.665059,0.995914,0.950181
0.962964,0.665241,0.99595,0.950226
0.963219,0.665538,0.995982,0.950184
0.96334,0.665643,0.995997,0.950242
0.96362,0.665894,0.996029,0.950278
0.963955,0.666142,0.996079,0.950337
0.964237,0.666255,0.996109,0.950446
0.964643,0.66622,0.996161,0.950438
0.964896,0.666444,0.99619,0.950531
0.96502,0.666656,0.996206,0.950575
0.965217,0.666878,0.996235,0.950615
0.965506,0.667027,0.996274,0.950638
0.965753,0.667275,0.996304,0.95075
0.966058,0.667754,0.996344,0.950842
0.96622,0.668065,0.996367,0.950936
0.966562,0.668342,0.9964,0.951013
0.966821,0.66854,0.996436,0.951068
0.966996,0.668933,0.996459,0.951179
0.967201,0.669216,0.996489,0.951212
0.967515,0.669454,0.99653,0.951359
0.967739,0.669947,0.996558,0.951457
0.968108,0.670414,0.996604,0.951524
0.968371,0.670568,0.996639,0.951582
0.968561,0.670603,0.996664,0.951568
0.968827,0.670983,0.996694,0.951615
0.969103,0.671272,0.996726,0.951638
0.969307,0.671675,0.996751,0.951741
0.969503,0.671825,0.996775,0.951734
0.9697,0.67208,0.996797,0.951832
0.969997,0.672392,0.996838,0.951858
0.970174,0.672666,0.996863,0.951928
0.970412,0.672947,0.996893,0.951955
0.970712,0.673234,0.996933,0.95193
0.970809,0.673615,0.996944,0.951981
